회사이름: 잡코리아, 공고이름: [잡코리아] 데이터 엔지니어 (3년 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46064233?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jobkorea
회사이름: 백패커, 공고이름: [아이디어스] 데이터 엔지니어 (data engineer), url: https://jumpit.saramin.co.kr/position/38103, 경력: 경력 3~7년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 호전실업, 공고이름: 데이터 분석, ai엔지니어 채용 (8~10년), url: https://jumpit.saramin.co.kr/position/39187, 경력: 경력 8~10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 호전실업, 공고이름: 데이터 분석, ai엔지니어 채용 (4~7년), url: https://jumpit.saramin.co.kr/position/39186, 경력: 경력 4~7년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 폼즈, 공고이름: [생성ai] 프롬프트 엔지니어 (스테이블 디퓨전 데이터 가공 및 실험), url: https://jumpit.saramin.co.kr/position/38136, 경력: 신입~5년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 딥인사이트, 공고이름: data engineer, url: https://jumpit.saramin.co.kr/position/39788, 경력: 신입, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 업스테이지, 공고이름: senior data engineer - llm, url: https://jumpit.saramin.co.kr/position/39331, 경력: 경력 7~15년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 엑심베이, 공고이름: data engineer, url: https://jumpit.saramin.co.kr/position/39145, 경력: 신입~10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 바로팜, 공고이름: 데이터 엔지니어 경력 채용, url: https://jumpit.saramin.co.kr/position/38280, 경력: 경력 5~12년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: jumpit
회사이름: 카카오스타일, 공고이름: 데이터 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49198548&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 에스티로직, 공고이름: 데이터 엔지니어 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49306212&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 유클릭, 공고이름: [데이터 클라우드 플랫폼 개발자 채용] 데이터엔지니어 , url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550888&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력3년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 한국에스리, 공고이름: [데이터엔지니어] data enginer, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492746&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 신입·경력, 지역: 인천, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 라온피플, 공고이름: 데이터엔지니어 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422944&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 카페24, 공고이름: [데이터그룹] 데이터 엔지니어 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49326429&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 다날, 공고이름: 다날  dba·데이터엔지니어링 부문 경력 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49558524&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력10년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 디리아, 공고이름: 데이터분석 및 데이터엔지니어 채용(신입/경력), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534324&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 코너스톤42, 공고이름: [cornerstone42] 데이터 엔지니어 모집(경력 1년 이상), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535850&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 신입·경력, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 제이슨, 공고이름: [안랩-제이슨] (경력)빅데이터 구축 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49562283&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 트릿지, 공고이름: data engineer (산업기능요원), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364127&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 마이데이터, 공고이름: 빅데이터플랫폼 운영 엔지니어 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388624&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 윈스로드, 공고이름: 데이터 보호 (x86/가상화/클라우드) 신입/경력 엔지니어 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543066&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 엘리스, 공고이름: 데이터 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49273599&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 반프, 공고이름: r&d / data engineer, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49355840&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 도로시, 공고이름: [(주)도로시] 데이터엔지니어 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49203587&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 콘센트릭스서비스코리아, 공고이름: 데이터 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49297917&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력 5~6년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 주식회사코세틱, 공고이름: [cosetic] 데이터 엔지니어 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49257307&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 오픈메이트, 공고이름: [오픈메이트] 데이터엔지니어 및 data architect 인재 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49459508&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 잇솔루션, 공고이름: [데이터 엔지니어] etl/pipeline & mart (oracle exadata), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 디토닉, 공고이름: [디토닉]  데이터 플랫폼 개발 리드 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49431490&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53, 경력: 경력 7~15년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 인디비정보시스템, 공고이름: 빅데이터플랫폼 운영팀에서 함께 성장할 엔지니어 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49567628&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력 1~3년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 로이드케이, 공고이름: 빅데이터 솔루션 데이터 엔지니어 모집(경력), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503565&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력 5~13년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 지아이솔루션즈, 공고이름: 데이터베이스·dba 엔지니어 정규직 채용 (경력&신입), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408924&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력무관, 지역: 대구, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 기어세컨드, 공고이름: [기어세컨드] 데이터 엔지니어(de) 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444785&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 쓰리알이노베이션, 공고이름: [경력 3년] 데이터 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513714&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력 3~10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 원프레딕트, 공고이름: data platform engineer(전문연구요원), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420075&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 나비프라, 공고이름: [나비프라]멀티로봇 경로계획/작업스케쥴링/데이터분석 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480878&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력무관, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 에스비티글로벌, 공고이름: 네이버클라우드 sa dba 엔지니어 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49382904&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력 2~16년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 누리교육, 공고이름: [데이터엔지니어] 데이터 분석 및 처리 전문가 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551905&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력3년↑, 지역: 대구, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 크레버스, 공고이름: data engineer(경력5년) 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391729&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력 5~8년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 씨트러스, 공고이름: 대기업 게임사 idc(데이터센터) 인프라 운영 엔지니어, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423819&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=148a68b2-6e00-4a7d-92a3-8b6c197d139b, 경력: 경력무관, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 휴톰, 공고이름: [휴톰/의료기기 소프트웨어] 데이터 / ml 엔지니어(3년~), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49330744&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=86f850e9-0d9e-4656-84a0-1f9628d54b79, 경력: 경력 3~7년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 인젠트, 공고이름: [(주)인젠트]db 엔지니어 경력 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49325362&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=86f850e9-0d9e-4656-84a0-1f9628d54b79, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 미래로시스템, 공고이름: database engineer 경력자 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447477&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a690f9f6-23ec-4880-830d-9ba605a16889, 경력: 경력3년↑, 지역: 경기, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 현대엘리베이터, 공고이름: [현대엘리베이터] 데이터 엔지니어 경력 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497207&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a690f9f6-23ec-4880-830d-9ba605a16889, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 지티플러스, 공고이름: 오라클db 엔지니어 (경력) 모집, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49377770&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a690f9f6-23ec-4880-830d-9ba605a16889, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 엔지니어, 사이트: saramin
회사이름: 루덴시티, 공고이름: Data Engineer (패션 쇼핑앱), url: https://www.wanted.co.kr/wd/253719, 경력: 경력 3-10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 데이터라이즈, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/81834, 경력: 경력 2-10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 알스퀘어, 공고이름: Data Engineer (5년 이상), url: https://www.wanted.co.kr/wd/244076, 경력: 경력 5-20년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 아임웹, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/240941, 경력: 경력 3-12년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 인터파크트리플, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/249295, 경력: 경력 5년 이상, 지역: 경기, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 데브시스터즈, 공고이름: [기술본부] Data Warehouse Engineer (5년 이상), url: https://www.wanted.co.kr/wd/251918, 경력: 경력 5년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 백패커, 공고이름: [아이디어스] Data Engineer, url: https://www.wanted.co.kr/wd/216500, 경력: 경력 3-7년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 라이너, 공고이름: Senior Data Engineer, url: https://www.wanted.co.kr/wd/248658, 경력: 경력 5년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 앰버로드, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/194516, 경력: 경력 3-5년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 앤서스랩코리아, 공고이름: [DX]Data Warehouse Engineer, url: https://www.wanted.co.kr/wd/245126, 경력: 경력 6년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 쏘카, 공고이름: Data Engineer(Lead), url: https://www.wanted.co.kr/wd/234456, 경력: 경력 5-15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 와드, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/199962, 경력: 경력 5-15년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 에이비일팔공, 공고이름: Data Engineer (병역특례 가능), url: https://www.wanted.co.kr/wd/249595, 경력: 경력 3년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 크래프톤, 공고이름: [Infra Div.] Database Engineer (5년 이상), url: https://www.wanted.co.kr/wd/249208, 경력: 경력 5년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 클럼엘, 공고이름: [6년 이상] 시니어 Software Engineer (Data), url: https://www.wanted.co.kr/wd/239467, 경력: 경력 6-15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 트릿지, 공고이름: Data Engineer (산업기능요원), url: https://www.wanted.co.kr/wd/249958, 경력: 신입-경력 5년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 클럼엘, 공고이름: 신입 Software Engineer (Data), url: https://www.wanted.co.kr/wd/239469, 경력: 신입, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 클럼엘, 공고이름: [2년 이상] 주니어 Software Engineer (Data), url: https://www.wanted.co.kr/wd/239465, 경력: 경력 2-6년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 업스테이지, 공고이름: Senior Data Engineer - LLM, url: https://www.wanted.co.kr/wd/248977, 경력: 경력 7-15년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 현대캐피탈, 공고이름: Big Data Engineer, url: https://www.wanted.co.kr/wd/233632, 경력: 경력 4-10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 브레인커머스, 공고이름: [잡플래닛] Sr. Data Engineer, url: https://www.wanted.co.kr/wd/117898, 경력: 경력 7-12년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 모플, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/154911, 경력: 경력 1-3년, 지역: 대전, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 레브잇, 공고이름: Data Platform Engineer, url: https://www.wanted.co.kr/wd/255382, 경력: 경력 7년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 딥서치, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/254599, 경력: 경력 3-7년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 원티드재팬, 공고이름: [キャディ株式会社]Data Engineer_근무지 일본, url: https://www.wanted.co.kr/wd/251513, 경력: 경력 5-15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 세이브더칠드런코리아, 공고이름: IT팀 DW/BI 담당자, url: https://www.wanted.co.kr/wd/220334, 경력: 경력 4-15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 인핸스, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/154545, 경력: 경력 3-8년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 루덴시티, 공고이름: [신입] Data Engineer (패션 쇼핑앱), url: https://www.wanted.co.kr/wd/253720, 경력: 신입, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 하이퍼커넥트, 공고이름: Sr. Data & Analytics Engineer (DW/BI), url: https://www.wanted.co.kr/wd/252420, 경력: 경력 4-15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 티맵모빌리티, 공고이름: Data Analytics Engineer, url: https://www.wanted.co.kr/wd/251270, 경력: 경력 2년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 데이터라이즈, 공고이름: Data Engineer(Jr), url: https://www.wanted.co.kr/wd/226473, 경력: 신입-경력 2년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 데이터라이즈, 공고이름: Data Analytics Engineer, url: https://www.wanted.co.kr/wd/177620, 경력: 경력 2-10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 여기어때컴퍼니, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/232708, 경력: 경력 2-5년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 엘박스, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/251752, 경력: 경력 3년 이상, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 딥인사이트, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/250680, 경력: 경력 1-3년, 지역: 경기, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 하이퍼러닝, 공고이름: DE (Data Engineer) 엔지니어, url: https://www.wanted.co.kr/wd/251109, 경력: 신입 이상, 지역: 인천, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 엑심베이, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/234060, 경력: 신입-경력 2년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 오케스트로, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/135086, 경력: 경력 3-10년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
회사이름: 하이퍼리즘, 공고이름: Data Engineer, url: https://www.wanted.co.kr/wd/229693, 경력: 신입-경력 15년, 지역: 서울, 직무: 데이터 엔지니어, 사이트: wanted
